Nume,CodFiscal,Judet,Telefon,CifraDeAfaceriNetaRON2021,ProfitNetRON2021,CotaDePiata2021,CodCAEN2021,DescriereCodCAEN2021,Salariati2020,CifraDeAfaceriNetaRON2020,ProfitNetRON2020,CotaDePiata2020,CodCAEN2020,DescriereCodCAEN2020,Salariati2019,CifraDeAfaceriNetaRON2019,ProfitNetRON2019,CotaDePiata2019,CodCAEN2019,DescriereCodCAEN2019,Salariati2018,CifraDeAfaceriNetaRON2018,ProfitNetRON2018,CotaDePiata2018,CodCAEN2018,DescriereCodCAEN2018
S.C.DACOR EXIM S.R.L.,3249317,BIHOR,0359194481,1214499,739267,0.01%,6820,Închirierea si subînchirierea bunurilor imobiliare proprii sau în leasing,2.0,1108215.0,653199.0,0.01%,6820.0,Închirierea si subînchirierea bunurilor imobiliare proprii sau în leasing,2.0,1052742.0,682321.0,0.01%,6820.0,Închirierea si subînchirierea bunurilor imobiliare proprii sau în leasing,2.0,992423.0,514811.0,0.01%,6820.0,Închirierea si subînchirierea bunurilor imobiliare proprii sau în leasing
S.C. ELFIN PRODSERV S.R.L,11145236,CLUJ,0264317511,152693,6237,0.08%,2821,"Fabricarea cuptoarelor, furnalelor si arzatoarelor",1.0,227857.0,46141.0,0.13%,2821.0,"Fabricarea cuptoarelor, furnalelor si arzatoarelor",1.0,77327.0,0.0,0.04%,2821.0,"Fabricarea cuptoarelor, furnalelor si arzatoarelor",1.0,272219.0,97652.0,0.15%,2821.0,"Fabricarea cuptoarelor, furnalelor si arzatoarelor"
S.C. CLINICA DE DIABET SI NUTRITIE DACIA SRL,28613358,MUNICIPIUL BUCUREŞTI,-,297542,83321,0%,8622,Activitati de asistenta medicala specializata,2.0,253088.0,125610.0,0%,8622.0,Activitati de asistenta medicala specializata,2.0,169465.0,76285.0,0%,8622.0,Activitati de asistenta medicala specializata,2.0,99965.0,6061.0,0%,8622.0,Activitati de asistenta medicala specializata
ALBA PROJECT CONSALTING SRL,29440379,ALBA,-,41163,0,0%,7022,Activitati de consultanta pentru afaceri si management,0.0,41163.0,0.0,0%,7022.0,Activitati de consultanta pentru afaceri si management,0.0,46170.0,4666.0,0%,7022.0,Activitati de consultanta pentru afaceri si management,0.0,0.0,0.0,0%,7022.0,Activitati de consultanta pentru afaceri si management
LC BEST MEDICAL SRL,31998319,SUCEAVA,0744520425,2746317,1751148,0.03%,8622,Activitati de asistenta medicala specializata,13.0,2125387.0,1050270.0,0.02%,8622.0,Activitati de asistenta medicala specializata,14.0,1569450.0,582854.0,0.02%,8622.0,Activitati de asistenta medicala specializata,12.0,1041485.0,239621.0,0.01%,8622.0,Activitati de asistenta medicala specializata
S.C. GREEN ITALIAN FARM SRL,32315333,TIMIŞ,0722692024,0,0,0%,111,"Cultivarea cerealelor (exclusiv orez), plantelor leguminoase si a plantelor producatoare de seminte oleaginoase",0.0,266136.0,0.0,0%,111.0,"Cultivarea cerealelor (exclusiv orez), plantelor leguminoase si a plantelor producatoare de seminte oleaginoase",0.0,379530.0,238793.0,0%,111.0,"Cultivarea cerealelor (exclusiv orez), plantelor leguminoase si a plantelor producatoare de seminte oleaginoase",0.0,411059.0,82796.0,0%,111.0,"Cultivarea cerealelor (exclusiv orez), plantelor leguminoase si a plantelor producatoare de seminte oleaginoase"
MAYA VISUALS STUDIO SRL-D,34445437,ILFOV,-,0,0,0%,7420,Activitati fotografice,0.0,0.0,0.0,0%,7420.0,Activitati fotografice,0.0,0.0,0.0,0%,7420.0,Activitati fotografice,0.0,0.0,0.0,0%,7420.0,Activitati fotografice
Young Production Events SRL,35825639,MUNICIPIUL BUCUREŞTI,-,547914,0,0.04%,9329,Alte activitati recreative si distractive n.c.a.,1.0,489112.0,46342.0,0.04%,9329.0,Alte activitati recreative si distractive n.c.a.,1.0,426657.0,0.0,0.03%,9329.0,Alte activitati recreative si distractive n.c.a.,1.0,281874.0,44575.0,0.02%,9329.0,Alte activitati recreative si distractive n.c.a.
EUMATIC TRUST SRL,37049216,BRAŞOV,-,764740,0,0%,4120,Lucrari de constructie a cladirilor rezidentiale si nerezidentiale,13.0,1948314.0,703170.0,0%,4120.0,Lucrari de constructie a cladirilor rezidentiale si nerezidentiale,7.0,1622312.0,839610.0,0%,4120.0,Lucrari de constructie a cladirilor rezidentiale si nerezidentiale,4.0,442133.0,235029.0,0%,4120.0,Lucrari de constructie a cladirilor rezidentiale si nerezidentiale
PREMIUM NAILS SRL,37058109,ALBA,-,35928,0,0%,4791,Comert cu amanuntul prin intermediul caselor de comenzi sau prin Internet,3.0,21347.0,0.0,0%,4791.0,Comert cu amanuntul prin intermediul caselor de comenzi sau prin Internet,1.0,1056.0,0.0,0%,4791.0,Comert cu amanuntul prin intermediul caselor de comenzi sau prin Internet,1.0,25858.0,0.0,0%,4791.0,Comert cu amanuntul prin intermediul caselor de comenzi sau prin Internet
SC TERMOPLAST OCTAVIAN SRL,37080360,MUREŞ,0766294311,2317240,54121,0.05%,2223,Fabricarea articolelor din material plastic pentru constructii,16.0,1324991.0,59679.0,0.03%,2223.0,Fabricarea articolelor din material plastic pentru constructii,12.0,941862.0,6258.0,0.02%,2223.0,Fabricarea articolelor din material plastic pentru constructii,5.0,273596.0,23235.0,0.01%,2223.0,Fabricarea articolelor din material plastic pentru constructii
S.C. FEROTERRA SRL,37103889,SIBIU,-,10554113,1992364,0.11%,2511,Fabricarea de constructii metalice si parti componente ale structurilor metalice,38.0,4679743.0,57787.0,0.05%,2511.0,Fabricarea de constructii metalice si parti componente ale structurilor metalice,31.0,5665262.0,980606.0,0.06%,2511.0,Fabricarea de constructii metalice si parti componente ale structurilor metalice,18.0,1756824.0,103398.0,0.02%,2511.0,Fabricarea de constructii metalice si parti componente ale structurilor metalice
ROYAL WEDDING ROOM SRL D,37107805,MUREŞ,0755338824,371296,0,0%,5610,Restaurante,9.0,276208.0,83569.0,0%,5610.0,Restaurante,6.0,578966.0,120496.0,0%,5610.0,Restaurante,5.0,450854.0,132868.0,0%,5610.0,Restaurante
S.C. JETIX TRANS LKW S.R.L,37217174,COVASNA,0765284420,440186,0,0.01%,4532,Comert cu amanuntul de piese si accesorii pentru autovehicule,3.0,244196.0,0.0,0%,4532.0,Comert cu amanuntul de piese si accesorii pentru autovehicule,2.0,325235.0,0.0,0.01%,4532.0,Comert cu amanuntul de piese si accesorii pentru autovehicule,2.0,451087.0,28720.0,0.01%,4532.0,Comert cu amanuntul de piese si accesorii pentru autovehicule
PAL SANIERUNGEN BAU SRL,37219825,HARGHITA,0746873803,144322,0,0%,4120,Lucrari de constructie a cladirilor rezidentiale si nerezidentiale,4.0,10000.0,0.0,0%,4120.0,Lucrari de constructie a cladirilor rezidentiale si nerezidentiale,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MAGDIF  AUTO  SRL - D,37240622,SIBIU,-,604789,155305,0.01%,4520,Întretinerea si repararea autovehiculelor,5.0,299949.0,38764.0,0%,4520.0,Întretinerea si repararea autovehiculelor,1.0,0.0,0.0,0%,4520.0,Întretinerea si repararea autovehiculelor,0.0,0.0,0.0,0%,4520.0,Întretinerea si repararea autovehiculelor
SC ALMA REAL ESTATE SRL,37326392,ALBA,-,0,0,0%,4120,Lucrari de constructie a cladirilor rezidentiale si nerezidentiale,2.0,34140.0,0.0,0%,4120.0,Lucrari de constructie a cladirilor rezidentiale si nerezidentiale,2.0,217700.0,91415.0,0%,4120.0,Lucrari de constructie a cladirilor rezidentiale si nerezidentiale,2.0,12000.0,0.0,0%,4120.0,Lucrari de constructie a cladirilor rezidentiale si nerezidentiale
