Nume,CodFiscal,Judet,Telefon,CodCAEN2021,DescriereCodCAEN2021,Ratio2021,Ratio2020,Ratio2019,Ratio2018,CifraDeAfaceriNetaRON2021,ProfitNetRON2021,CotaDePiata2021,Salariati2020,CifraDeAfaceriNetaRON2020,ProfitNetRON2020,CotaDePiata2020,CodCAEN2020,DescriereCodCAEN2020,Salariati2019,CifraDeAfaceriNetaRON2019,ProfitNetRON2019,CotaDePiata2019,CodCAEN2019,DescriereCodCAEN2019,Salariati2018,CifraDeAfaceriNetaRON2018,ProfitNetRON2018,CotaDePiata2018,CodCAEN2018,DescriereCodCAEN2018
FRIDAY CLEAN SRL,39899841,SIBIU,0756481589,9601,Spalarea si curatarea (uscata) articolelor textile si a produselor din blana,0.2099146057988053,0.0,0.012199387471314377,nan,409981,86061,0.1%,5.0,247747.0,0.0,0.06%,9601.0,Spalarea si curatarea (uscata) articolelor textile si a produselor din blana,2.0,117219.0,1430.0,0.03%,9601.0,Spalarea si curatarea (uscata) articolelor textile si a produselor din blana,nan,nan,nan,nan,nan,nan
DISNEY ARENA SRL,38780876,SIBIU,-,9329,Alte activitati recreative si distractive n.c.a.,0.023869338578485787,0.0,0.0032956394570433996,0.0,154047,3677,0.01%,4.0,83175.0,0.0,0.01%,9329.0,Alte activitati recreative si distractive n.c.a.,1.0,145647.0,480.0,0.01%,9329.0,Alte activitati recreative si distractive n.c.a.,1.0,84322.0,0.0,0.01%,9329.0,Alte activitati recreative si distractive n.c.a.
S.C. ZETE KARTING SRL,37456511,HARGHITA,0744697747,9319,Alte activitati sportive,0.6918778838252955,0.016461048686529527,0.10220956086714841,0.0,158210,109462,0.14%,4.0,143551.0,2363.0,0.13%,9319.0,Alte activitati sportive,1.0,71960.0,7355.0,0.06%,9319.0,Alte activitati sportive,1.0,36150.0,0.0,0.03%,9319.0,Alte activitati sportive
CROSS FITNESS SRL,39284404,COVASNA,0744491524,9313,Activitati ale centrelor de fitness,0.731289780538724,0.0,nan,nan,98195,71809,0.02%,5.0,32919.0,0.0,0.01%,9313.0,Activitati ale centrelor de fitness,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
SC ROHELLAS 98 SRL,40537756,ALBA,-,9313,Activitati ale centrelor de fitness,0.07493203284845427,0.09960812320313502,0.0,nan,214074,16041,0.05%,5.0,109218.0,10879.0,0.03%,9313.0,Activitati ale centrelor de fitness,0.0,3571.0,0.0,0%,9313.0,Activitati ale centrelor de fitness,nan,nan,nan,nan,nan,nan
SOFEX ART S.R.L.,39849967,ALBA,0740021554,9002,Activitati suport pentru interpretare artistica (spectacole),0.23192265193370165,0.0,0.0,nan,90500,20989,0.02%,4.0,5600.0,0.0,0%,9002.0,Activitati suport pentru interpretare artistica (spectacole),4.0,54500.0,0.0,0.01%,9002.0,Activitati suport pentru interpretare artistica (spectacole),nan,nan,nan,nan,nan,nan
S.C. GIADENT  SMILE S.R.L.-D,37965523,SIBIU,0745849071,8623,Activitati de asistenta stomatologica,0.04212397979668474,0.1790335386522907,0.0,nan,296387,12485,0.01%,4.0,275831.0,49383.0,0.01%,8623.0,Activitati de asistenta stomatologica,1.0,25050.0,0.0,0%,8623.0,Activitati de asistenta stomatologica,nan,nan,nan,nan,nan,nan
MAREAN DENT SRL,40378561,ALBA,-,8623,Activitati de asistenta stomatologica,0.23670354355491008,0.2803627439663955,0.0,nan,1215305,287667,0.04%,7.0,996295.0,279324.0,0.03%,8623.0,Activitati de asistenta stomatologica,0.0,35505.0,0.0,0%,8623.0,Activitati de asistenta stomatologica,nan,nan,nan,nan,nan,nan
FORTUNA EDIDENT HELP SRL,40389773,HARGHITA,-,8623,Activitati de asistenta stomatologica,0.10508891513778866,0.5700707191822724,0.0,nan,184558,19395,0.01%,4.0,286061.0,163075.0,0.01%,8623.0,Activitati de asistenta stomatologica,4.0,40116.0,0.0,0%,8623.0,Activitati de asistenta stomatologica,nan,nan,nan,nan,nan,nan
PRO-COR DENTAL SRL,40440477,SIBIU,0766667144,8623,Activitati de asistenta stomatologica,0.20436986574547605,0.0,0.501,nan,621804,127078,0.02%,5.0,29963.0,0.0,0%,8623.0,Activitati de asistenta stomatologica,0.0,2000.0,1002.0,0%,8623.0,Activitati de asistenta stomatologica,nan,nan,nan,nan,nan,nan
